wc_match_id,date,stage,round,home_team,away_team,host_side,elo_home_pre,elo_away_pre,hgb_H,hgb_D,hgb_A,pois_H,pois_D,pois_A,ens_H,ens_D,ens_A,xg_home,xg_away,ft_home,ft_away,result_90,hgb_pick,pois_pick,ens_pick,px_A,px_D,px_H,overround,mkt_H,mkt_D,mkt_A,mkt_pick,hours_before_kickoff,volume_usd,n_price_points,kick_ts,match_no,edge_H,edge_D,edge_A,edge_pick,max_edge_outcome,max_edge
28,2026-06-20,Group,Group E,Ecuador,Curaçao,none,1979.9,1590.0,0.8665332171847773,0.09364840881794659,0.03981837399727623,0.8233173520417324,0.12107045220085885,0.05561219575740896,0.8449252846132549,0.10735943050940272,0.0477152848773426,2.7491860233240946,0.590936240581313,0,0,D,H,H,H,0.0395,0.095,0.865,0.9994999999999999,0.8654327163581791,0.09504752376188094,0.03951975987993997,H,11.998703703703704,18216287.616692066,391,1782000000,34,-0.0205074317449242,0.012311906747521778,0.008195524997402628,-0.0205074317449242,D,0.012311906747521778
33,2026-06-20,Group,Group F,Netherlands,Sweden,none,2007.6,1825.0,0.5995173466231754,0.26037379286898,0.14010886050784466,0.6087470294525346,0.22019911816197377,0.17105385238549164,0.604132188037855,0.2402864555154769,0.15558135644666815,1.8797898861775135,0.880893515512992,5,1,H,H,H,H,0.205,0.235,0.565,1.005,0.5621890547263682,0.2338308457711443,0.20398009950248758,H,4.998333333333333,22367686.54266512,367,1781974800,35,0.0419431333114868,0.006455609744332597,-0.048398743055819426,0.0419431333114868,H,0.0419431333114868
34,2026-06-20,Group,Group F,Tunisia,Japan,none,1686.5,1994.1,0.11445908225543511,0.2102787541910454,0.6752621635535195,0.11066367140933522,0.17618644409516354,0.7131498844955013,0.11256137683238517,0.19323259914310448,0.6942060240245105,0.7651178220104548,2.2641334692545567,0,4,A,A,A,A,0.675,0.215,0.115,1.0050000000000001,0.1144278606965174,0.21393034825870644,0.6716417910447761,A,3.997037037037037,22166891.279387165,381,1782014400,36,-0.00186648386413224,-0.02069774911560196,0.022564232979734422,0.022564232979734422,A,0.022564232979734422
39,2026-06-21,Group,Group G,Belgium,Iran,none,1933.1,1880.1,0.4100104082801036,0.30327772347165277,0.2867118682482436,0.4525228267752993,0.258362609238749,0.2891145639859516,0.43126661752770146,0.2808201663552009,0.2879132161170976,1.4820431237028198,1.1307200289954986,0,0,D,H,H,H,0.125,0.205,0.675,1.005,0.6716417910447763,0.20398009950248758,0.12437810945273634,H,6.998888888888889,27016664.389641043,385,1782068400,37,-0.24037517351707482,0.07684006685271333,0.16353510666436125,-0.24037517351707482,A,0.16353510666436125
40,2026-06-21,Group,Group G,New Zealand,Egypt,none,1731.5,1820.4,0.239077330483877,0.2754853705759378,0.4854372989401851,0.291466941179385,0.25768552032195907,0.45084753849865594,0.265272135831631,0.26658544544894847,0.4681424187194205,1.1425278118268367,1.4860095155137436,1,3,A,A,A,A,0.615,0.235,0.155,1.005,0.15422885572139305,0.2338308457711443,0.6119402985074628,A,0.9974999999999999,25520309.2234752,384,1782090000,38,0.11104328011023795,0.03275459967780417,-0.14379787978804226,-0.14379787978804226,H,0.11104328011023795
45,2026-06-21,Group,Group H,Spain,Saudi Arabia,none,2197.8,1711.3,0.8280628407200278,0.1303186447421337,0.04161851453783859,0.8935133018646302,0.07795756474398532,0.028529133391384527,0.860788071292329,0.10413810474305951,0.03507382396461156,3.281389826064064,0.4907143652399912,4,0,H,H,H,H,0.0385,0.075,0.895,1.0085,0.887456618740704,0.07436787307882994,0.03817550818046604,H,3.9986111111111113,14380119.569741039,393,1782057600,39,-0.02666854744837499,0.02977023166422957,-0.0031016842158544805,-0.02666854744837499,D,0.02977023166422957
46,2026-06-21,Group,Group H,Uruguay,Cape Verde,none,1954.1,1680.2,0.7180489572978075,0.17472661631359776,0.10722442638859477,0.7119496250760748,0.17870419847810567,0.10934617644581934,0.7149992911869412,0.17671540739585173,0.10828530141720705,2.2222653421192926,0.7389037126891279,2,2,D,H,H,H,0.105,0.225,0.675,1.0050000000000001,0.6716417910447761,0.22388059701492535,0.10447761194029849,H,9.99824074074074,23415028.615583166,387,1782079200,40,0.043357500142165106,-0.04716518961907362,0.0038076894769085573,0.043357500142165106,H,0.043357500142165106
51,2026-06-22,Group,Group I,France,Iraq,none,2149.1,1716.2,0.7686297799992037,0.1732234000685533,0.05814681993224302,0.8572213194696947,0.10092422617159873,0.04185445435870642,0.8129255497344492,0.13707381312007602,0.050000637145474716,2.9743322903854854,0.544050379899009,3,0,H,H,H,H,0.0245,0.075,0.905,1.0045,0.9009457441513191,0.0746640119462419,0.024390243902439025,H,8.9975,16405015.459799027,377,1782162000,41,-0.08802019441686992,0.062409801173834115,0.02561039324303569,-0.08802019441686992,D,0.062409801173834115
52,2026-06-22,Group,Group I,Norway,Senegal,none,2003.9,1892.5,0.4616300559666708,0.2984211147733383,0.239948829259991,0.5232031164846851,0.24511119072196827,0.2316856927933467,0.49241658622567797,0.2717661527476533,0.23581726102666883,1.6496402024459282,1.0103943510837212,3,2,H,H,H,H,0.285,0.275,0.445,1.005,0.44278606965174133,0.27363184079601993,0.2835820895522388,H,11.99824074074074,37720243.81072193,414,1782172800,42,0.049630516573936634,-0.0018656880483666205,-0.04776482852556996,0.049630516573936634,H,0.049630516573936634
57,2026-06-22,Group,Group J,Argentina,Austria,none,2204.7,1915.9,0.6770409207830554,0.22077521308414136,0.10218386613280331,0.7277107988662541,0.17134133484926192,0.10094786628448393,0.7023758598246548,0.19605827396670164,0.10156586620864362,2.2839223000704765,0.7179691342644327,2,0,H,H,H,H,0.115,0.215,0.675,1.0050000000000001,0.6716417910447761,0.21393034825870644,0.1144278606965174,H,4.998333333333334,32121251.186320134,378,1782147600,43,0.03073406877987872,-0.017872074292004797,-0.012861994487873785,0.03073406877987872,H,0.03073406877987872
58,2026-06-22,Group,Group J,Jordan,Algeria,none,1742.8,1867.8,0.21000554828980111,0.26059026794725426,0.5294041837629447,0.25502013777189086,0.2499683844350731,0.4950114777930359,0.232512843030846,0.25527932619116367,0.5122078307779903,1.0694035182856232,1.59290106465119,1,2,A,A,A,A,0.635,0.225,0.145,1.005,0.14427860696517414,0.2238805970149254,0.6318407960199006,A,2.9965740740740743,22484702.661259145,400,1782183600,44,0.08823423606567185,0.03139872917623826,-0.11963296524191036,-0.11963296524191036,H,0.08823423606567185
63,2026-06-23,Group,Group K,Portugal,Uzbekistan,none,2038.7,1800.9,0.6106860158298262,0.25097799898547646,0.13833598518469734,0.6723607568747276,0.1960200860432219,0.13161915708205063,0.6415233863522769,0.22349904251434918,0.134977571133374,2.0798288564416154,0.7921371258169471,5,0,H,H,H,H,0.045,0.105,0.855,1.005,0.8507462686567165,0.10447761194029852,0.04477611940298508,H,4.997777777777777,17781389.39756215,400,1782234000,45,-0.20922288230443964,0.11902143057405067,0.09020145173038892,-0.20922288230443964,D,0.11902143057405067
64,2026-06-23,Group,Group K,Colombia,DR Congo,none,2080.7,1783.3,0.6802448629263056,0.19488459452137674,0.12487054255231764,0.7366188701363248,0.16706324816813406,0.09631788169554126,0.7084318665313152,0.1809739213447554,0.11059421212392945,2.32022153004871,0.706177477105967,1,0,H,H,H,H,0.135,0.235,0.625,0.995,0.628140703517588,0.23618090452261306,0.135678391959799,H,1.9978703703703704,15737474.529933147,422,1782266400,46,0.08029116301372718,-0.05520698317785766,-0.025084179835869552,0.08029116301372718,H,0.08029116301372718
69,2026-06-23,Group,Group L,England,Ghana,none,2124.3,1670.9,0.8043951207756014,0.14925538042930953,0.046349498795089185,0.8719518227905825,0.09178128102456816,0.03626689618484938,0.838173471783092,0.12051833072693885,0.04130819748996928,3.0886722881330892,0.522918922665437,0,0,D,H,H,H,0.055,0.125,0.825,1.005,0.8208955223880597,0.12437810945273634,0.05472636815920399,H,7.997314814814815,24886124.028849557,400,1782244800,47,0.017277949395032244,-0.003859778725797486,-0.01341817066923471,0.017277949395032244,H,0.017277949395032244
